,dayl(s),prcp(mm/day),srad(W/m2),swe(mm),tmax(C),tmin(C),vp(Pa),PET,QObs(mm/d),mean_temp,month_index,year,month,tmean,user_data,weather_label
1980-10-01,41050.8,0.0,286.9,0.0,16.19,4.31,825.78,1.5713,0.555,10.25,10,1980,10,10.25,"Not a drop of rain today; it feels like the area could use some moisture. The river moved along quietly, with a gentle, relaxed flow.",dry
1980-10-02,40780.81,2.08,195.94,0.0,13.46,5.72,920.18,1.2619,0.4979,9.59,10,1980,10,9.59,"A decent rainfall that left the ground well-soaked. A calm river today, trickling at a very slow pace.",dry
1980-10-03,40435.21,5.57,172.6,0.0,17.84,8.61,1128.7,1.2979,0.5169,13.225,10,1980,10,13.225,"It rained quite heavily, leaving deep puddles around. With a quiet pace, the river meandered gently along.",moderate
1980-10-04,40435.21,23.68,170.45,0.0,16.28,7.32,1027.91,1.2251,1.5634,11.8,10,1980,10,11.8,"It rained quite heavily, leaving deep puddles around. A healthy flow in the river, moving at a balanced pace.",wet
1980-10-05,40089.58,3.0,113.83,0.0,10.51,5.01,881.61,0.9116,2.8541,7.76,10,1980,10,7.76,"Some steady rain brought a refreshing feel to the surroundings. The river moved swiftly, carrying debris in its strong currents.",dry
1980-10-06,40089.58,0.0,197.7,0.0,11.75,4.35,838.15,1.1454,1.9503,8.05,10,1980,10,8.05,"With no rain around, everything seems a bit dusty. A steady, noticeable flow in the river brought life to the scene.",dry
1980-10-07,39744.0,0.0,265.89,0.0,11.67,1.09,650.65,1.2047,1.4144,6.38,10,1980,10,6.38,"Skies were clear all day; no rain touched the ground. A steady, noticeable flow in the river brought life to the scene.",dry
1980-10-08,39744.0,0.0,263.46,0.0,11.86,1.39,672.88,1.1943,1.129,6.625,10,1980,10,6.625,"Not a drop of rain today; it feels like the area could use some moisture. A steady, noticeable flow in the river brought life to the scene.",dry
1980-10-09,39398.41,0.0,290.92,0.0,13.92,1.56,681.04,1.2588,0.9419,7.74,10,1980,10,7.74,A completely dry day—no signs of rain. A smooth and gentle flow was visible in the river today.,dry
1980-10-10,39322.82,0.0,280.33,0.0,9.39,-2.23,520.07,1.0582,0.7992,3.58,10,1980,10,3.58,"Skies were clear all day; no rain touched the ground. The river flowed gently, enough to keep the water clear.",dry
1980-10-11,39052.8,0.0,302.77,0.0,10.26,-3.19,481.5,1.0564,0.7326,3.535,10,1980,10,3.535,"Not a drop of rain today; it feels like the area could use some moisture. With a quiet pace, the river meandered gently along.",dry
1980-10-12,38711.64,14.03,176.63,0.0,9.23,-0.06,602.44,0.8763,1.5285,4.585,10,1980,10,4.585,"The rain came down hard, flooding the usual spots. The river seemed vibrant, moving along with moderate strength.",wet
1980-10-13,38707.21,0.52,234.35,0.0,10.45,0.75,640.55,0.9982,1.814,5.6,10,1980,10,5.6,"The rain was so light, it hardly made a difference. A steady, noticeable flow in the river brought life to the scene.",dry
1980-10-14,38361.61,0.0,169.19,0.0,5.55,-0.64,583.16,0.7859,1.3668,2.455,10,1980,10,2.455,"Not a drop of rain today; it feels like the area could use some moisture. The river seemed vibrant, moving along with moderate strength.",dry
1980-10-15,38361.61,0.0,186.72,0.0,3.61,-3.38,473.7,0.7339,1.0877,0.11499999999999999,10,1980,10,0.11499999999999999,"Skies were clear all day; no rain touched the ground. The river was lively today, flowing with moderate energy.",dry
1980-10-16,38016.03,0.0,297.21,0.0,7.91,-5.68,400.0,0.8544,0.9165,1.1150000000000002,10,1980,10,1.1150000000000002,A completely dry day—no signs of rain. A smooth and gentle flow was visible in the river today.,dry
1980-10-17,38016.03,0.0,289.48,0.0,8.74,-4.45,440.0,0.8595,0.8214,2.145,10,1980,10,2.145,"With no rain around, everything seems a bit dusty. A smooth and gentle flow was visible in the river today.",dry
1980-10-18,37670.41,2.17,276.47,0.0,12.79,-1.17,566.8,0.9291,0.777,5.81,10,1980,10,5.81,"Enough rain fell to give the plants a good drink. With a quiet pace, the river meandered gently along.",dry
1980-10-19,37670.41,4.79,161.86,0.0,14.98,5.8,924.38,0.924,0.8118,10.39,10,1980,10,10.39,"The rain came down hard, flooding the usual spots. With a quiet pace, the river meandered gently along.",moderate
1980-10-20,37324.8,0.0,260.35,0.0,13.6,1.63,682.57,0.9362,0.7865,7.615,10,1980,10,7.615,"Skies were clear all day; no rain touched the ground. With a quiet pace, the river meandered gently along.",dry
1980-10-21,37324.8,0.0,254.37,0.0,8.56,-2.91,487.48,0.7686,0.7326,2.825,10,1980,10,2.825,"With no rain around, everything seems a bit dusty. The river flowed gently, enough to keep the water clear.",dry
1980-10-22,36979.2,0.02,235.93,0.0,8.21,-2.16,518.67,0.7453,0.6818,3.0250000000000004,10,1980,10,3.0250000000000004,A completely dry day—no signs of rain. A smooth and gentle flow was visible in the river today.,dry
1980-10-23,36976.84,0.0,198.69,0.0,5.5,-2.75,500.21,0.6667,0.612,1.375,10,1980,10,1.375,"With no rain around, everything seems a bit dusty. With a quiet pace, the river meandered gently along.",dry
1980-10-24,36633.59,0.0,198.69,0.0,4.01,-4.16,440.08,0.6152,0.5835,-0.07500000000000018,10,1980,10,-0.07500000000000018,"A completely dry day—no signs of rain. With a quiet pace, the river meandered gently along.",dry
1980-10-25,36597.64,0.0,291.3,0.0,10.06,-6.27,378.32,0.6453,0.5581,1.8950000000000005,10,1980,10,1.8950000000000005,"With no rain around, everything seems a bit dusty. The river moved along quietly, with a gentle, relaxed flow.",dry
1980-10-26,36288.0,28.07,212.64,0.0,11.07,-4.53,437.1,0.6322,5.7717,3.27,10,1980,10,3.27,"The rain poured down heavily, soaking everything in sight. The river moved swiftly, carrying debris in its strong currents.",wet
1980-10-27,36252.06,0.36,197.06,0.0,7.66,-1.01,564.14,0.6472,6.1522,3.325,10,1980,10,3.325,"Skies were clear all day; no rain touched the ground. It flowed fast today, with strong, surging energy.",dry
1980-10-28,35942.4,0.0,140.03,0.0,3.88,-1.69,541.46,0.5622,3.8689,1.095,10,1980,10,1.095,"Not a drop of rain today; it feels like the area could use some moisture. A fast-moving river today, splashing along with vigor.",dry
1980-10-29,35940.04,0.04,186.98,0.0,3.65,-4.02,446.02,0.54,2.7875,-0.18499999999999983,10,1980,10,-0.18499999999999983,"Not a drop of rain today; it feels like the area could use some moisture. A fast-moving river today, splashing along with vigor.",dry
1980-10-30,35596.8,0.0,143.82,0.0,2.77,-2.82,503.04,0.5216,2.1691,-0.02499999999999991,10,1980,10,-0.02499999999999991,"A completely dry day—no signs of rain. The river seemed vibrant, moving along with moderate strength.",dry
1980-10-31,35594.44,0.0,192.42,0.0,5.2,-2.9,496.63,0.5414,1.8044,1.1500000000000001,10,1980,10,1.1500000000000001,"With no rain around, everything seems a bit dusty. The river was lively today, flowing with moderate energy.",dry
1980-11-01,35251.2,0.4,205.84,0.0,7.62,-1.35,559.86,0.5654,1.5825,3.135,11,1980,11,3.135,"A completely dry day—no signs of rain. The river seemed vibrant, moving along with moderate strength.",dry
1980-11-02,35251.2,0.0,164.05,0.0,3.96,-2.8,495.72,0.5018,1.4049,0.5800000000000001,11,1980,11,0.5800000000000001,"Not a drop of rain today; it feels like the area could use some moisture. The river seemed vibrant, moving along with moderate strength.",dry
1980-11-03,34905.59,0.0,212.46,0.0,2.39,-7.05,359.81,0.432,1.2273,-2.33,11,1980,11,-2.33,"Skies were clear all day; no rain touched the ground. The river seemed vibrant, moving along with moderate strength.",dry
1980-11-04,34905.59,0.0,224.59,0.0,5.32,-5.4,415.9,0.4481,1.1099,-0.040000000000000036,11,1980,11,-0.040000000000000036,"A completely dry day—no signs of rain. The river was lively today, flowing with moderate energy.",dry
1980-11-05,34559.99,2.0,182.37,0.0,9.99,1.68,694.72,0.5581,1.0941,5.835,11,1980,11,5.835,"Some steady rain brought a refreshing feel to the surroundings. The river seemed vibrant, moving along with moderate strength.",dry
1980-11-06,34559.99,0.0,241.54,0.0,8.01,-5.39,415.03,0.4111,1.018,1.31,11,1980,11,1.31,"A completely dry day—no signs of rain. The river seemed vibrant, moving along with moderate strength.",dry
1980-11-07,34364.32,0.0,182.21,0.0,3.54,-4.72,424.91,0.4124,0.9387,-0.5899999999999999,11,1980,11,-0.5899999999999999,"Skies were clear all day; no rain touched the ground. The river moved along quietly, with a gentle, relaxed flow.",dry
1980-11-08,34214.39,14.89,117.35,0.0,6.93,-0.12,601.79,0.4892,1.3129,3.405,11,1980,11,3.405,"The rain poured down heavily, soaking everything in sight. The river seemed vibrant, moving along with moderate strength.",wet
1980-11-09,34138.8,0.0,236.08,0.0,5.15,-8.21,320.0,0.3214,1.9123,-1.5300000000000002,11,1980,11,-1.5300000000000002,"With no rain around, everything seems a bit dusty. A healthy flow in the river, moving at a balanced pace.",dry
1980-11-10,33868.82,3.91,146.32,0.0,2.23,-5.66,409.19,0.3782,1.6554,-1.715,11,1980,11,-1.715,"A strong rainfall today, making the landscape feel lush and saturated. The river seemed vibrant, moving along with moderate strength.",dry
1980-11-11,33868.82,0.23,152.26,0.0,4.19,-2.46,512.03,0.4055,1.5222,0.8650000000000002,11,1980,11,0.8650000000000002,"Not a drop of rain today; it feels like the area could use some moisture. The river was lively today, flowing with moderate energy.",dry
1980-11-12,33527.63,0.0,114.18,0.0,0.71,-3.98,459.12,0.3812,1.3288,-1.635,11,1980,11,-1.635,"With no rain around, everything seems a bit dusty. The river was lively today, flowing with moderate energy.",dry
1980-11-13,33523.2,0.0,136.01,0.0,2.17,-3.72,462.43,0.3719,1.1448,-0.7750000000000001,11,1980,11,-0.7750000000000001,"Skies were clear all day; no rain touched the ground. The river seemed vibrant, moving along with moderate strength.",dry
1980-11-14,33399.73,1.79,107.73,0.0,1.69,-3.12,480.0,0.3824,1.056,-0.7150000000000001,11,1980,11,-0.7150000000000001,"Some steady rain brought a refreshing feel to the surroundings. A steady, noticeable flow in the river brought life to the scene.",dry
1980-11-15,33177.6,0.0,153.21,0.0,1.88,-4.85,431.69,0.3322,1.0085,-1.4849999999999999,11,1980,11,-1.4849999999999999,"A completely dry day—no signs of rain. A healthy flow in the river, moving at a balanced pace.",dry
1980-11-16,33177.6,0.0,188.53,0.0,1.32,-7.59,346.24,0.2687,0.9038,-3.135,11,1980,11,-3.135,"With no rain around, everything seems a bit dusty. A smooth and gentle flow was visible in the river today.",dry
1980-11-17,32910.08,0.0,160.19,0.0,-2.36,-9.3,301.94,0.2605,0.8277,-5.83,11,1980,11,-5.83,"Not a drop of rain today; it feels like the area could use some moisture. The river moved along quietly, with a gentle, relaxed flow.",dry
1980-11-18,32832.01,6.04,132.63,0.0,0.31,-7.05,359.67,0.2973,0.8372,-3.37,11,1980,11,-3.37,"It rained quite heavily, leaving deep puddles around. With a quiet pace, the river meandered gently along.",moderate
1980-11-19,32829.65,11.25,83.91,0.0,-2.11,-6.28,379.55,0.3227,0.7801,-4.195,11,1980,11,-4.195,"The rain came down hard, flooding the usual spots. A smooth and gentle flow was visible in the river today.",moderate
1980-11-20,32490.82,0.0,216.39,0.0,-1.37,-11.52,255.77,0.1767,0.8499,-6.445,11,1980,11,-6.445,"A completely dry day—no signs of rain. The river moved along quietly, with a gentle, relaxed flow.",dry
1980-11-21,32486.39,0.0,234.23,0.0,1.6,-10.74,271.2,0.1438,0.7992,-4.57,11,1980,11,-4.57,"Not a drop of rain today; it feels like the area could use some moisture. The river flowed gently, enough to keep the water clear.",dry
1980-11-22,32450.45,0.0,226.92,0.0,3.23,-8.58,320.66,0.1472,0.8182,-2.675,11,1980,11,-2.675,"A completely dry day—no signs of rain. The river moved along quietly, with a gentle, relaxed flow.",dry
1980-11-23,32218.89,0.0,235.21,0.0,3.71,-9.98,289.05,0.1139,0.7801,-3.1350000000000002,11,1980,11,-3.1350000000000002,"Skies were clear all day; no rain touched the ground. The river flowed gently, enough to keep the water clear.",dry
1980-11-24,32140.8,0.0,235.0,0.0,6.82,-7.75,342.71,0.0974,0.7452,-0.46499999999999986,11,1980,11,-0.46499999999999986,Skies were clear all day; no rain touched the ground. A smooth and gentle flow was visible in the river today.,dry
1980-11-25,32138.44,22.42,121.64,0.0,4.9,-2.16,519.48,0.3123,3.0761,1.37,11,1980,11,1.37,"The rain poured down heavily, soaking everything in sight. It flowed fast today, with strong, surging energy.",wet
1980-11-26,31945.13,12.45,147.02,0.0,4.27,-5.22,416.19,0.2419,5.9936,-0.4750000000000001,11,1980,11,-0.4750000000000001,"It rained quite heavily, leaving deep puddles around. A fast-moving river today, splashing along with vigor.",wet
1980-11-27,31795.19,0.0,185.25,0.0,-0.63,-9.22,298.57,0.1544,3.6152,-4.925000000000001,11,1980,11,-4.925000000000001,"Skies were clear all day; no rain touched the ground. It flowed fast today, with strong, surging energy.",dry
1980-11-28,31795.19,0.0,188.76,0.0,0.6,-8.41,322.12,0.1446,2.6702,-3.9050000000000002,11,1980,11,-3.9050000000000002,"Not a drop of rain today; it feels like the area could use some moisture. The river moved swiftly, carrying debris in its strong currents.",dry
1980-11-29,31759.25,25.93,143.28,0.0,4.18,-5.43,418.35,0.2251,7.3256,-0.625,11,1980,11,-0.625,"The rain came down hard, flooding the usual spots. The river rushed past with powerful currents.",wet
1980-11-30,31527.7,0.0,136.32,0.0,2.96,-3.1,488.74,0.246,7.4207,-0.07000000000000006,11,1980,11,-0.07000000000000006,"With no rain around, everything seems a bit dusty. It flowed fast today, with strong, surging energy.",dry
1980-12-01,31449.6,0.0,135.75,0.0,1.24,-4.78,430.44,0.2258,4.63,-1.77,12,1980,12,-1.77,Not a drop of rain today; it feels like the area could use some moisture. The river rushed past with powerful currents.,dry
1980-12-02,31449.6,0.0,152.57,0.0,3.7,-3.69,463.92,0.2005,3.3932,0.0050000000000001155,12,1980,12,0.0050000000000001155,"A completely dry day—no signs of rain. A fast-moving river today, splashing along with vigor.",dry
1980-12-03,31447.24,16.75,141.51,0.0,7.1,-3.38,480.0,0.2166,5.7717,1.8599999999999999,12,1980,12,1.8599999999999999,"The rain came down hard, flooding the usual spots. The river moved swiftly, carrying debris in its strong currents.",wet
1980-12-04,31326.12,5.03,173.54,0.0,4.84,-13.37,220.06,0.091,6.723,-4.265,12,1980,12,-4.265,"The rain came down hard, flooding the usual spots. The river moved swiftly, carrying debris in its strong currents.",moderate
1980-12-05,31182.08,1.23,79.03,0.0,-9.23,-12.75,226.85,0.2042,3.9958,-10.99,12,1980,12,-10.99,"The rain was so light, it hardly made a difference. The river moved swiftly, carrying debris in its strong currents.",dry
1980-12-06,31104.01,0.0,155.15,0.0,-5.52,-12.61,232.63,0.1302,2.9334,-9.065,12,1980,12,-9.065,Not a drop of rain today; it feels like the area could use some moisture. The river rushed past with powerful currents.,dry
1980-12-07,31104.01,0.0,183.28,0.0,-2.03,-11.36,258.33,0.0889,2.4894,-6.694999999999999,12,1980,12,-6.694999999999999,"A completely dry day—no signs of rain. The river was lively today, flowing with moderate energy.",dry
1980-12-08,31104.01,0.43,201.6,0.0,2.38,-10.63,277.4,0.0394,1.9662,-4.125,12,1980,12,-4.125,"Skies were clear all day; no rain touched the ground. A steady, noticeable flow in the river brought life to the scene.",dry
1980-12-09,31068.07,3.63,133.13,0.0,4.49,-4.8,440.0,0.1959,1.6808,-0.1549999999999998,12,1980,12,-0.1549999999999998,"It rained quite heavily, leaving deep puddles around. A steady, noticeable flow in the river brought life to the scene.",dry
1980-12-10,31028.42,1.74,205.97,0.0,-1.47,-13.89,212.72,0.0326,1.4271,-7.680000000000001,12,1980,12,-7.680000000000001,"Enough rain fell to give the plants a good drink. A steady, noticeable flow in the river brought life to the scene.",dry
1980-12-11,30908.32,0.0,219.33,0.0,-2.66,-18.86,139.39,0.0087,1.2685,-10.76,12,1980,12,-10.76,"Not a drop of rain today; it feels like the area could use some moisture. A steady, noticeable flow in the river brought life to the scene.",dry
1980-12-12,30836.49,0.0,191.72,0.0,-13.44,-24.3,80.0,0.06,1.1416,-18.87,12,1980,12,-18.87,"Not a drop of rain today; it feels like the area could use some moisture. A healthy flow in the river, moving at a balanced pace.",dry
1980-12-13,30762.82,5.49,162.24,0.0,-6.28,-22.29,105.21,0.0794,1.0148,-14.285,12,1980,12,-14.285,"The rain poured down heavily, soaking everything in sight. The river was lively today, flowing with moderate energy.",moderate
1980-12-14,30758.39,0.0,222.72,0.0,-1.81,-21.6,120.0,0.0,0.9038,-11.705,12,1980,12,-11.705,"A completely dry day—no signs of rain. With a quiet pace, the river meandered gently along.",dry
1980-12-15,30758.39,0.0,217.83,0.0,-8.34,-26.04,79.18,0.0275,0.8404,-17.189999999999998,12,1980,12,-17.189999999999998,"Not a drop of rain today; it feels like the area could use some moisture. The river moved along quietly, with a gentle, relaxed flow.",dry
1980-12-16,30758.39,4.73,118.35,0.0,-15.25,-24.08,82.73,0.1034,0.7928,-19.665,12,1980,12,-19.665,"It rained quite heavily, leaving deep puddles around. The river moved along quietly, with a gentle, relaxed flow.",moderate
1980-12-17,30758.39,8.6,109.25,0.0,-10.21,-18.27,160.0,0.1375,0.7611,-14.24,12,1980,12,-14.24,"The rain poured down heavily, soaking everything in sight. The river flowed gently, enough to keep the water clear.",moderate
1980-12-18,30758.39,0.0,206.39,0.0,-9.46,-24.12,87.28,0.0365,0.7135,-16.79,12,1980,12,-16.79,"Not a drop of rain today; it feels like the area could use some moisture. The river moved along quietly, with a gentle, relaxed flow.",dry
1980-12-19,30758.39,3.62,148.55,0.0,-5.37,-17.14,160.0,0.0999,0.6818,-11.255,12,1980,12,-11.255,"It rained quite heavily, leaving deep puddles around. With a quiet pace, the river meandered gently along.",dry
1980-12-20,30758.39,0.0,218.12,0.0,-7.2,-25.54,80.0,0.0193,0.6501,-16.37,12,1980,12,-16.37,"With no rain around, everything seems a bit dusty. The river flowed gently, enough to keep the water clear.",dry
1980-12-21,30758.39,0.0,183.46,0.0,-15.44,-27.33,79.36,0.0639,0.6025,-21.384999999999998,12,1980,12,-21.384999999999998,"Skies were clear all day; no rain touched the ground. With a quiet pace, the river meandered gently along.",dry
1980-12-22,30758.39,0.0,200.45,0.0,-14.5,-28.7,42.2,0.0446,0.5867,-21.6,12,1980,12,-21.6,"With no rain around, everything seems a bit dusty. With a quiet pace, the river meandered gently along.",dry
1980-12-23,30758.39,2.42,185.92,0.0,-10.2,-25.79,79.76,0.0566,0.555,-17.994999999999997,12,1980,12,-17.994999999999997,"The rain today was steady but not overwhelming, just enough to freshen things up. The river moved along quietly, with a gentle, relaxed flow.",dry
1980-12-24,30758.39,3.45,124.91,0.0,-5.1,-15.19,189.05,0.1392,0.5391,-10.145,12,1980,12,-10.145,"The rain today was steady but not overwhelming, just enough to freshen things up. With a quiet pace, the river meandered gently along.",dry
1980-12-25,30758.39,5.57,172.62,0.0,-4.26,-29.68,49.56,0.0546,0.5233,-16.97,12,1980,12,-16.97,"A strong rainfall today, making the landscape feel lush and saturated. The river flowed gently, enough to keep the water clear.",moderate
1980-12-26,30758.39,0.0,136.36,0.0,-23.64,-31.55,40.0,0.0727,0.5074,-27.595,12,1980,12,-27.595,"A completely dry day—no signs of rain. With a quiet pace, the river meandered gently along.",dry
