date,prcp(mm/day),tmax(C),tmin(C),QObs(mm/d),user_data
1980-10-01,0.0,16.19,4.31,0.555,"Not a drop of rain today; it feels like the area could use some moisture. The river moved along quietly, with a gentle, relaxed flow."
1980-10-02,2.08,13.46,5.72,0.4979,"A decent rainfall that left the ground well-soaked. A calm river today, trickling at a very slow pace."
1980-10-03,5.57,17.84,8.61,0.5169,"It rained quite heavily, leaving deep puddles around. With a quiet pace, the river meandered gently along."
1980-10-04,23.68,16.28,7.32,1.5634,"It rained quite heavily, leaving deep puddles around. A healthy flow in the river, moving at a balanced pace."
1980-10-05,3.0,10.51,5.01,2.8541,"Some steady rain brought a refreshing feel to the surroundings. The river moved swiftly, carrying debris in its strong currents."
1980-10-06,0.0,11.75,4.35,1.9503,"With no rain around, everything seems a bit dusty. A steady, noticeable flow in the river brought life to the scene."
1980-10-07,0.0,11.67,1.09,1.4144,"Skies were clear all day; no rain touched the ground. A steady, noticeable flow in the river brought life to the scene."
1980-10-08,0.0,11.86,1.39,1.129,"Not a drop of rain today; it feels like the area could use some moisture. A steady, noticeable flow in the river brought life to the scene."
1980-10-09,0.0,13.92,1.56,0.9419,A completely dry day—no signs of rain. A smooth and gentle flow was visible in the river today.
1980-10-10,0.0,9.39,-2.23,0.7992,"Skies were clear all day; no rain touched the ground. The river flowed gently, enough to keep the water clear."
1980-10-11,0.0,10.26,-3.19,0.7326,"Not a drop of rain today; it feels like the area could use some moisture. With a quiet pace, the river meandered gently along."
1980-10-12,14.03,9.23,-0.06,1.5285,"The rain came down hard, flooding the usual spots. The river seemed vibrant, moving along with moderate strength."
1980-10-13,0.52,10.45,0.75,1.814,"The rain was so light, it hardly made a difference. A steady, noticeable flow in the river brought life to the scene."
1980-10-14,0.0,5.55,-0.64,1.3668,"Not a drop of rain today; it feels like the area could use some moisture. The river seemed vibrant, moving along with moderate strength."
1980-10-15,0.0,3.61,-3.38,1.0877,"Skies were clear all day; no rain touched the ground. The river was lively today, flowing with moderate energy."
1980-10-16,0.0,7.91,-5.68,0.9165,A completely dry day—no signs of rain. A smooth and gentle flow was visible in the river today.
1980-10-17,0.0,8.74,-4.45,0.8214,"With no rain around, everything seems a bit dusty. A smooth and gentle flow was visible in the river today."
1980-10-18,2.17,12.79,-1.17,0.777,"Enough rain fell to give the plants a good drink. With a quiet pace, the river meandered gently along."
1980-10-19,4.79,14.98,5.8,0.8118,"The rain came down hard, flooding the usual spots. With a quiet pace, the river meandered gently along."
1980-10-20,0.0,13.6,1.63,0.7865,"Skies were clear all day; no rain touched the ground. With a quiet pace, the river meandered gently along."
1980-10-21,0.0,8.56,-2.91,0.7326,"With no rain around, everything seems a bit dusty. The river flowed gently, enough to keep the water clear."
1980-10-22,0.02,8.21,-2.16,0.6818,A completely dry day—no signs of rain. A smooth and gentle flow was visible in the river today.
1980-10-23,0.0,5.5,-2.75,0.612,"With no rain around, everything seems a bit dusty. With a quiet pace, the river meandered gently along."
1980-10-24,0.0,4.01,-4.16,0.5835,"A completely dry day—no signs of rain. With a quiet pace, the river meandered gently along."
1980-10-25,0.0,10.06,-6.27,0.5581,"With no rain around, everything seems a bit dusty. The river moved along quietly, with a gentle, relaxed flow."
1980-10-26,28.07,11.07,-4.53,5.7717,"The rain poured down heavily, soaking everything in sight. The river moved swiftly, carrying debris in its strong currents."
1980-10-27,0.36,7.66,-1.01,6.1522,"Skies were clear all day; no rain touched the ground. It flowed fast today, with strong, surging energy."
1980-10-28,0.0,3.88,-1.69,3.8689,"Not a drop of rain today; it feels like the area could use some moisture. A fast-moving river today, splashing along with vigor."
1980-10-29,0.04,3.65,-4.02,2.7875,"Not a drop of rain today; it feels like the area could use some moisture. A fast-moving river today, splashing along with vigor."
1980-10-30,0.0,2.77,-2.82,2.1691,"A completely dry day—no signs of rain. The river seemed vibrant, moving along with moderate strength."
1980-10-31,0.0,5.2,-2.9,1.8044,"With no rain around, everything seems a bit dusty. The river was lively today, flowing with moderate energy."
1980-11-01,0.4,7.62,-1.35,1.5825,"A completely dry day—no signs of rain. The river seemed vibrant, moving along with moderate strength."
1980-11-02,0.0,3.96,-2.8,1.4049,"Not a drop of rain today; it feels like the area could use some moisture. The river seemed vibrant, moving along with moderate strength."
1980-11-03,0.0,2.39,-7.05,1.2273,"Skies were clear all day; no rain touched the ground. The river seemed vibrant, moving along with moderate strength."
1980-11-04,0.0,5.32,-5.4,1.1099,"A completely dry day—no signs of rain. The river was lively today, flowing with moderate energy."
1980-11-05,2.0,9.99,1.68,1.0941,"Some steady rain brought a refreshing feel to the surroundings. The river seemed vibrant, moving along with moderate strength."
1980-11-06,0.0,8.01,-5.39,1.018,"A completely dry day—no signs of rain. The river seemed vibrant, moving along with moderate strength."
1980-11-07,0.0,3.54,-4.72,0.9387,"Skies were clear all day; no rain touched the ground. The river moved along quietly, with a gentle, relaxed flow."
1980-11-08,14.89,6.93,-0.12,1.3129,"The rain poured down heavily, soaking everything in sight. The river seemed vibrant, moving along with moderate strength."
1980-11-09,0.0,5.15,-8.21,1.9123,"With no rain around, everything seems a bit dusty. A healthy flow in the river, moving at a balanced pace."
1980-11-10,3.91,2.23,-5.66,1.6554,"A strong rainfall today, making the landscape feel lush and saturated. The river seemed vibrant, moving along with moderate strength."
1980-11-11,0.23,4.19,-2.46,1.5222,"Not a drop of rain today; it feels like the area could use some moisture. The river was lively today, flowing with moderate energy."
1980-11-12,0.0,0.71,-3.98,1.3288,"With no rain around, everything seems a bit dusty. The river was lively today, flowing with moderate energy."
1980-11-13,0.0,2.17,-3.72,1.1448,"Skies were clear all day; no rain touched the ground. The river seemed vibrant, moving along with moderate strength."
1980-11-14,1.79,1.69,-3.12,1.056,"Some steady rain brought a refreshing feel to the surroundings. A steady, noticeable flow in the river brought life to the scene."
1980-11-15,0.0,1.88,-4.85,1.0085,"A completely dry day—no signs of rain. A healthy flow in the river, moving at a balanced pace."
1980-11-16,0.0,1.32,-7.59,0.9038,"With no rain around, everything seems a bit dusty. A smooth and gentle flow was visible in the river today."
1980-11-17,0.0,-2.36,-9.3,0.8277,"Not a drop of rain today; it feels like the area could use some moisture. The river moved along quietly, with a gentle, relaxed flow."
1980-11-18,6.04,0.31,-7.05,0.8372,"It rained quite heavily, leaving deep puddles around. With a quiet pace, the river meandered gently along."
1980-11-19,11.25,-2.11,-6.28,0.7801,"The rain came down hard, flooding the usual spots. A smooth and gentle flow was visible in the river today."
1980-11-20,0.0,-1.37,-11.52,0.8499,"A completely dry day—no signs of rain. The river moved along quietly, with a gentle, relaxed flow."
1980-11-21,0.0,1.6,-10.74,0.7992,"Not a drop of rain today; it feels like the area could use some moisture. The river flowed gently, enough to keep the water clear."
1980-11-22,0.0,3.23,-8.58,0.8182,"A completely dry day—no signs of rain. The river moved along quietly, with a gentle, relaxed flow."
1980-11-23,0.0,3.71,-9.98,0.7801,"Skies were clear all day; no rain touched the ground. The river flowed gently, enough to keep the water clear."
1980-11-24,0.0,6.82,-7.75,0.7452,Skies were clear all day; no rain touched the ground. A smooth and gentle flow was visible in the river today.
1980-11-25,22.42,4.9,-2.16,3.0761,"The rain poured down heavily, soaking everything in sight. It flowed fast today, with strong, surging energy."
1980-11-26,12.45,4.27,-5.22,5.9936,"It rained quite heavily, leaving deep puddles around. A fast-moving river today, splashing along with vigor."
1980-11-27,0.0,-0.63,-9.22,3.6152,"Skies were clear all day; no rain touched the ground. It flowed fast today, with strong, surging energy."
1980-11-28,0.0,0.6,-8.41,2.6702,"Not a drop of rain today; it feels like the area could use some moisture. The river moved swiftly, carrying debris in its strong currents."
1980-11-29,25.93,4.18,-5.43,7.3256,"The rain came down hard, flooding the usual spots. The river rushed past with powerful currents."
1980-11-30,0.0,2.96,-3.1,7.4207,"With no rain around, everything seems a bit dusty. It flowed fast today, with strong, surging energy."
1980-12-01,0.0,1.24,-4.78,4.63,Not a drop of rain today; it feels like the area could use some moisture. The river rushed past with powerful currents.
1980-12-02,0.0,3.7,-3.69,3.3932,"A completely dry day—no signs of rain. A fast-moving river today, splashing along with vigor."
1980-12-03,16.75,7.1,-3.38,5.7717,"The rain came down hard, flooding the usual spots. The river moved swiftly, carrying debris in its strong currents."
1980-12-04,5.03,4.84,-13.37,6.723,"The rain came down hard, flooding the usual spots. The river moved swiftly, carrying debris in its strong currents."
1980-12-05,1.23,-9.23,-12.75,3.9958,"The rain was so light, it hardly made a difference. The river moved swiftly, carrying debris in its strong currents."
1980-12-06,0.0,-5.52,-12.61,2.9334,Not a drop of rain today; it feels like the area could use some moisture. The river rushed past with powerful currents.
1980-12-07,0.0,-2.03,-11.36,2.4894,"A completely dry day—no signs of rain. The river was lively today, flowing with moderate energy."
1980-12-08,0.43,2.38,-10.63,1.9662,"Skies were clear all day; no rain touched the ground. A steady, noticeable flow in the river brought life to the scene."
1980-12-09,3.63,4.49,-4.8,1.6808,"It rained quite heavily, leaving deep puddles around. A steady, noticeable flow in the river brought life to the scene."
1980-12-10,1.74,-1.47,-13.89,1.4271,"Enough rain fell to give the plants a good drink. A steady, noticeable flow in the river brought life to the scene."
1980-12-11,0.0,-2.66,-18.86,1.2685,"Not a drop of rain today; it feels like the area could use some moisture. A steady, noticeable flow in the river brought life to the scene."
1980-12-12,0.0,-13.44,-24.3,1.1416,"Not a drop of rain today; it feels like the area could use some moisture. A healthy flow in the river, moving at a balanced pace."
1980-12-13,5.49,-6.28,-22.29,1.0148,"The rain poured down heavily, soaking everything in sight. The river was lively today, flowing with moderate energy."
1980-12-14,0.0,-1.81,-21.6,0.9038,"A completely dry day—no signs of rain. With a quiet pace, the river meandered gently along."
1980-12-15,0.0,-8.34,-26.04,0.8404,"Not a drop of rain today; it feels like the area could use some moisture. The river moved along quietly, with a gentle, relaxed flow."
1980-12-16,4.73,-15.25,-24.08,0.7928,"It rained quite heavily, leaving deep puddles around. The river moved along quietly, with a gentle, relaxed flow."
1980-12-17,8.6,-10.21,-18.27,0.7611,"The rain poured down heavily, soaking everything in sight. The river flowed gently, enough to keep the water clear."
1980-12-18,0.0,-9.46,-24.12,0.7135,"Not a drop of rain today; it feels like the area could use some moisture. The river moved along quietly, with a gentle, relaxed flow."
1980-12-19,3.62,-5.37,-17.14,0.6818,"It rained quite heavily, leaving deep puddles around. With a quiet pace, the river meandered gently along."
1980-12-20,0.0,-7.2,-25.54,0.6501,"With no rain around, everything seems a bit dusty. The river flowed gently, enough to keep the water clear."
1980-12-21,0.0,-15.44,-27.33,0.6025,"Skies were clear all day; no rain touched the ground. With a quiet pace, the river meandered gently along."
1980-12-22,0.0,-14.5,-28.7,0.5867,"With no rain around, everything seems a bit dusty. With a quiet pace, the river meandered gently along."
1980-12-23,2.42,-10.2,-25.79,0.555,"The rain today was steady but not overwhelming, just enough to freshen things up. The river moved along quietly, with a gentle, relaxed flow."
1980-12-24,3.45,-5.1,-15.19,0.5391,"The rain today was steady but not overwhelming, just enough to freshen things up. With a quiet pace, the river meandered gently along."
1980-12-25,5.57,-4.26,-29.68,0.5233,"A strong rainfall today, making the landscape feel lush and saturated. The river flowed gently, enough to keep the water clear."
1980-12-26,0.0,-23.64,-31.55,0.5074,"A completely dry day—no signs of rain. With a quiet pace, the river meandered gently along."
1980-12-27,0.0,-13.84,-27.71,0.4915,"With no rain around, everything seems a bit dusty. Slow and still, the river's flow was almost unnoticeable."
1980-12-28,0.0,-6.17,-26.23,0.4757,"Not a drop of rain today; it feels like the area could use some moisture. A calm river today, trickling at a very slow pace."
1980-12-29,0.0,-0.6,-21.24,0.4757,"With no rain around, everything seems a bit dusty. The river looked quiet today, with hardly any flow."
1980-12-30,1.15,2.23,-5.2,0.4915,"The rain was so light, it hardly made a difference. A calm river today, trickling at a very slow pace."
1980-12-31,0.57,0.81,-13.22,0.4915,"The rain was so light, it hardly made a difference. The river was barely moving; it seemed almost stagnant."
1981-01-01,0.0,-12.05,-24.52,0.4915,A completely dry day—no signs of rain. The river was barely moving; it seemed almost stagnant.
1981-01-02,2.63,-8.61,-23.06,0.4757,"The rain today was steady but not overwhelming, just enough to freshen things up. A calm river today, trickling at a very slow pace."
1981-01-03,6.29,-6.02,-29.12,0.4598,"It rained quite heavily, leaving deep puddles around. The river looked quiet today, with hardly any flow."
1981-01-04,0.0,-22.54,-33.4,0.444,"Not a drop of rain today; it feels like the area could use some moisture. A calm river today, trickling at a very slow pace."
1981-01-05,0.0,-19.52,-32.38,0.4281,"A completely dry day—no signs of rain. A calm river today, trickling at a very slow pace."
1981-01-06,0.0,-12.35,-24.14,0.4281,A completely dry day—no signs of rain. The river was barely moving; it seemed almost stagnant.
1981-01-07,6.64,-5.17,-19.71,0.4281,"It rained quite heavily, leaving deep puddles around. Slow and still, the river's flow was almost unnoticeable."
1981-01-08,3.88,-1.02,-19.86,0.444,"The rain came down hard, flooding the usual spots. Slow and still, the river's flow was almost unnoticeable."
1981-01-09,0.0,-14.94,-23.99,0.4281,"Not a drop of rain today; it feels like the area could use some moisture. A calm river today, trickling at a very slow pace."
1981-01-10,0.0,-10.49,-22.88,0.4123,Skies were clear all day; no rain touched the ground. The river was barely moving; it seemed almost stagnant.
1981-01-11,4.4,-10.68,-22.72,0.3964,"The rain poured down heavily, soaking everything in sight. The river looked quiet today, with hardly any flow."
1981-01-12,0.0,-16.95,-27.68,0.3805,"With no rain around, everything seems a bit dusty. The river was barely moving; it seemed almost stagnant."
1981-01-13,0.0,-12.75,-29.25,0.3647,"With no rain around, everything seems a bit dusty. Slow and still, the river's flow was almost unnoticeable."
1981-01-14,3.66,-14.05,-23.53,0.3647,"The rain came down hard, flooding the usual spots. Slow and still, the river's flow was almost unnoticeable."
1981-01-15,0.0,-9.21,-26.42,0.3488,"Skies were clear all day; no rain touched the ground. The river looked quiet today, with hardly any flow."
1981-01-16,0.0,-6.91,-26.96,0.3488,"With no rain around, everything seems a bit dusty. The river was barely moving; it seemed almost stagnant."
1981-01-17,0.0,-7.84,-25.87,0.333,"With no rain around, everything seems a bit dusty. The river looked quiet today, with hardly any flow."
1981-01-18,0.0,-7.29,-20.92,0.333,"A completely dry day—no signs of rain. Slow and still, the river's flow was almost unnoticeable."
1981-01-19,0.0,-4.44,-18.44,0.3171,"A completely dry day—no signs of rain. A calm river today, trickling at a very slow pace."
1981-01-20,0.0,-0.72,-15.72,0.3171,A completely dry day—no signs of rain. The river was barely moving; it seemed almost stagnant.
1981-01-21,0.0,-8.25,-21.15,0.3108,"Skies were clear all day; no rain touched the ground. A calm river today, trickling at a very slow pace."
1981-01-22,2.0,-6.08,-20.46,0.3044,"Some steady rain brought a refreshing feel to the surroundings. A calm river today, trickling at a very slow pace."
1981-01-23,3.24,-5.0,-13.97,0.2981,"The rain today was steady but not overwhelming, just enough to freshen things up. The river was barely moving; it seemed almost stagnant."
1981-01-24,0.0,-3.61,-12.91,0.2918,A completely dry day—no signs of rain. The river was barely moving; it seemed almost stagnant.
1981-01-25,0.0,-3.36,-14.5,0.2854,"With no rain around, everything seems a bit dusty. The river looked quiet today, with hardly any flow."
1981-01-26,0.0,-2.31,-11.93,0.2886,"Not a drop of rain today; it feels like the area could use some moisture. Slow and still, the river's flow was almost unnoticeable."
1981-01-27,0.0,4.08,-5.07,0.2918,"With no rain around, everything seems a bit dusty. The river looked quiet today, with hardly any flow."
1981-01-28,0.0,3.85,-9.28,0.2918,"Not a drop of rain today; it feels like the area could use some moisture. Slow and still, the river's flow was almost unnoticeable."
1981-01-29,0.0,-4.72,-20.74,0.2791,"With no rain around, everything seems a bit dusty. The river was barely moving; it seemed almost stagnant."
1981-01-30,0.0,-6.5,-19.91,0.2727,"Skies were clear all day; no rain touched the ground. A calm river today, trickling at a very slow pace."
1981-01-31,0.0,-9.6,-18.72,0.2664,"A completely dry day—no signs of rain. A calm river today, trickling at a very slow pace."
1981-02-01,0.0,-3.2,-17.8,0.2632,"A completely dry day—no signs of rain. A calm river today, trickling at a very slow pace."
1981-02-02,12.23,4.5,-13.86,0.8721,"The rain came down hard, flooding the usual spots. The river moved along quietly, with a gentle, relaxed flow."
1981-02-03,26.61,7.61,-10.14,4.4397,"A strong rainfall today, making the landscape feel lush and saturated. The river moved swiftly, carrying debris in its strong currents."
1981-02-04,0.0,-6.96,-20.53,2.1564,"With no rain around, everything seems a bit dusty. A healthy flow in the river, moving at a balanced pace."
1981-02-05,0.0,-9.33,-20.34,1.6808,"A completely dry day—no signs of rain. A healthy flow in the river, moving at a balanced pace."
1981-02-06,0.0,-9.31,-20.01,1.3478,"Not a drop of rain today; it feels like the area could use some moisture. The river was lively today, flowing with moderate energy."
1981-02-07,0.0,-5.69,-15.89,1.0782,"A completely dry day—no signs of rain. A healthy flow in the river, moving at a balanced pace."
1981-02-08,2.43,-2.07,-12.28,0.9514,"Enough rain fell to give the plants a good drink. The river flowed gently, enough to keep the water clear."
1981-02-09,12.08,0.14,-5.3,0.8562,"The rain came down hard, flooding the usual spots. The river flowed gently, enough to keep the water clear."
1981-02-10,0.0,-2.2,-17.18,0.7928,A completely dry day—no signs of rain. A smooth and gentle flow was visible in the river today.
